leg,instrument_name,strike,option_type,expiry,entry_price,entry_iv,entry_underlying,entry_gap_hours,data_quality_ok,session_start,session_close,session_type,session_dow,spot_at_open
otm_put,BTC-31OCT22-19500-P,19500.0,P,2022-10-31 08:00:00+00:00,0.0005,0.6918000000000001,20784.5,0.85,True,2022-10-30 08:00:00+00:00,2022-10-31 08:00:00+00:00,weekend,sunday,20789.51
atm_call,BTC-1NOV22-20500-C,20500.0,C,2022-11-01 08:00:00+00:00,0.007,0.3519,20496.58,0.92,True,2022-10-31 08:00:00+00:00,2022-11-01 08:00:00+00:00,weekday,monday,20490.64
atm_put,BTC-1NOV22-20500-P,20500.0,P,2022-11-01 08:00:00+00:00,0.006,0.3146,20516.88,1.33,True,2022-10-31 08:00:00+00:00,2022-11-01 08:00:00+00:00,weekday,monday,20490.64
otm_call,BTC-1NOV22-21500-C,21500.0,C,2022-11-01 08:00:00+00:00,0.0005,0.4643,20692.6,1.79,True,2022-10-31 08:00:00+00:00,2022-11-01 08:00:00+00:00,weekday,monday,20490.64
otm_put,BTC-1NOV22-20000-P,20000.0,P,2022-11-01 08:00:00+00:00,0.001,0.3843,20496.52,0.94,True,2022-10-31 08:00:00+00:00,2022-11-01 08:00:00+00:00,weekday,monday,20490.64
atm_call,BTC-2NOV22-20500-C,20500.0,C,2022-11-02 08:00:00+00:00,0.0095,0.3514,20586.78,0.74,True,2022-11-01 08:00:00+00:00,2022-11-02 08:00:00+00:00,weekday,tuesday,20580.64
atm_put,BTC-2NOV22-20500-P,20500.0,P,2022-11-02 08:00:00+00:00,0.006,0.3889,20595.68,0.0,True,2022-11-01 08:00:00+00:00,2022-11-02 08:00:00+00:00,weekday,tuesday,20580.64
otm_call,BTC-2NOV22-21500-C,21500.0,C,2022-11-02 08:00:00+00:00,0.0005,0.4855,20604.68,0.05,True,2022-11-01 08:00:00+00:00,2022-11-02 08:00:00+00:00,weekday,tuesday,20580.64
otm_put,BTC-2NOV22-19750-P,19750.0,P,2022-11-02 08:00:00+00:00,0.0005,0.4819,20593.89,0.01,True,2022-11-01 08:00:00+00:00,2022-11-02 08:00:00+00:00,weekday,tuesday,20580.64
atm_call,BTC-3NOV22-20500-C,20500.0,C,2022-11-03 08:00:00+00:00,0.014,0.7559,20422.85,0.02,True,2022-11-02 08:00:00+00:00,2022-11-03 08:00:00+00:00,weekday,wednesday,20501.71
atm_put,BTC-3NOV22-20500-P,20500.0,P,2022-11-03 08:00:00+00:00,0.018,0.7722,20424.56,0.06,True,2022-11-02 08:00:00+00:00,2022-11-03 08:00:00+00:00,weekday,wednesday,20501.71
otm_call,BTC-3NOV22-22000-C,22000.0,C,2022-11-03 08:00:00+00:00,0.0005,0.7615999999999999,20422.56,0.02,True,2022-11-02 08:00:00+00:00,2022-11-03 08:00:00+00:00,weekday,wednesday,20501.71
otm_put,BTC-3NOV22-19000-P,19000.0,P,2022-11-03 08:00:00+00:00,0.001,0.8598,20421.22,0.02,True,2022-11-02 08:00:00+00:00,2022-11-03 08:00:00+00:00,weekday,wednesday,20501.71
atm_call,BTC-4NOV22-20250-C,20250.0,C,2022-11-04 08:00:00+00:00,0.007,0.3336,20258.37,0.56,True,2022-11-03 08:00:00+00:00,2022-11-04 08:00:00+00:00,weekday,thursday,20297.06
atm_put,BTC-4NOV22-20250-P,20250.0,P,2022-11-04 08:00:00+00:00,0.0045,0.2905,20320.42,0.24,True,2022-11-03 08:00:00+00:00,2022-11-04 08:00:00+00:00,weekday,thursday,20297.06
otm_call,BTC-4NOV22-22000-C,22000.0,C,2022-11-04 08:00:00+00:00,0.0005,0.8393,20294.94,1.42,True,2022-11-03 08:00:00+00:00,2022-11-04 08:00:00+00:00,weekday,thursday,20297.06
